Speaker,Sentence
BENVOLIO,"I'll pay that doctrine, or else die in debt."
BENVOLIO,"Tut, man, one fire burns out another's burning,
One pain is lessen'd by another's anguish;
Turn giddy, and be holp by backward turning;
One desperate grief cures with another's languish"
ROMEO,Your plaintain-leaf is excellent for that.
BENVOLIO,"For what, I pray thee?"
ROMEO,For your broken shin.
BENVOLIO,"Why, Romeo, art thou mad?"
ROMEO,"Not mad, but bound more than a mad-man is;
Shut up in prison, kept without my food,
Whipp'd and tormented and--God-den, good fellow."
ROMEO,"Ay, mine own fortune in my misery."
ROMEO,"Ay, if I know the letters and the language."
ROMEO,"Stay, fellow; I can read.
'Signior Martino and his wife and daughters;
County Anselme and his beauteous sisters; the lady
widow of Vitravio; Signior Placentio and his lovely
nieces; Mercutio and his brother Valentine; mine
uncle Capulet, his wife and daughters; my fair niece
Rosaline; Livia; Signior Valentio and his cousin
Tybalt, Lucio and the lively Helena.' A fair
assembly"
ROMEO,Whither?
ROMEO,Whose house?
ROMEO,"Indeed, I should have ask'd you that before."
BENVOLIO,"At this same ancient feast of Capulet's
Sups the fair Rosaline whom thou so lovest,
With all the admired beauties of Verona"
ROMEO,"When the devout religion of mine eye
Maintains such falsehood, then turn tears to fires;
And these, who often drown'd could never die,
Transparent heretics, be burnt for liars!
One fairer than my love! the all-seeing sun
Ne'er saw her match since first the world begun."
BENVOLIO,"Tut, you saw her fair, none else being by,
Herself poised with herself in either eye"
ROMEO,"I'll go along, no such sight to be shown,
But to rejoice in splendor of mine own."
Nurse,"Now, by my maidenhead, at twelve year old,
I bade her come. What, lamb! what, ladybird!
God forbid! Where's this girl? What, Juliet!"
JULIET,How now! who calls?
Nurse,Your mother.
JULIET,"Madam, I am here.
What is your will?"
Nurse,"Faith, I can tell her age unto an hour."
Nurse,"I'll lay fourteen of my teeth,--
And yet, to my teeth be it spoken, I have but four--
She is not fourteen. How long is it now
To Lammas-tide?"
Nurse,"Even or odd, of all days in the year,
Come Lammas-eve at night shall she be fourteen.
Susan and she--God rest all Christian souls!--
Were of an age"
Nurse,"Yes, madam"
JULIET,"And stint thou too, I pray thee, nurse, say I."
Nurse,"Peace, I have done. God mark thee to his grace!
Thou wast the prettiest babe that e'er I nursed"
JULIET,It is an honour that I dream not of.
Nurse,"An honour! were not I thine only nurse,
I would say thou hadst suck'd wisdom from thy teat."
Nurse,"A man, young lady! lady, such a man
As all the world--why, he's a man of wax."
Nurse,"Nay, he's a flower; in faith, a very flower."
Nurse,"No less! nay, bigger; women grow by men."
JULIET,"I'll look to like, if looking liking move"
Nurse,"Go, girl, seek happy nights to happy days."
ROMEO,"What, shall this speech be spoke for our excuse?
Or shall we on without a apology?"
BENVOLIO,The date is out of such prolixity
ROMEO,Give me a torch
MERCUTIO,"Nay, gentle Romeo, we must have you dance."
ROMEO,"Not I, believe me"
MERCUTIO,"You are a lover; borrow Cupid's wings,
And soar with them above a common bound."
ROMEO,"I am too sore enpierced with his shaft
To soar with his light feathers, and so bound,
I cannot bound a pitch above dull woe"
MERCUTIO,"And, to sink in it, should you burden love;
Too great oppression for a tender thing."
ROMEO,"Is love a tender thing? it is too rough,
Too rude, too boisterous, and it pricks like thorn."
MERCUTIO,"If love be rough with you, be rough with love;
Prick love for pricking, and you beat love down.
Give me a case to put my visage in"
BENVOLIO,"Come, knock and enter; and no sooner in,
But every man betake him to his legs."
ROMEO,A torch for me
MERCUTIO,"Tut, dun's the mouse, the constable's own word"
ROMEO,"Nay, that's not so."
MERCUTIO,"I mean, sir, in delay
We waste our lights in vain, like lamps by day.
Take our good meaning, for our judgment sits
Five times in that ere once in our five wits."
ROMEO,"And we mean well in going to this mask;
But 'tis no wit to go."
MERCUTIO,"Why, may one ask?"
ROMEO,I dream'd a dream to-night.
MERCUTIO,And so did I.
ROMEO,"Well, what was yours?"
MERCUTIO,That dreamers often lie.
ROMEO,"In bed asleep, while they do dream things true."
MERCUTIO,"O, then, I see Queen Mab hath been with you.
She is the fairies' midwife, and she comes
In shape no bigger than an agate-stone
On the fore-finger of an alderman,
Drawn with a team of little atomies
Athwart men's noses as they lie asleep;
Her wagon-spokes made of long spiders' legs,
The cover of the wings of grasshoppers,
The traces of the smallest spider's web,
The collars of the moonshine's watery beams,
Her whip of cricket's bone, the lash of film,
Her wagoner a small grey-coated gnat,
Not so big as a round little worm
Prick'd from the lazy finger of a maid;
Her chariot is an empty hazel-nut
Made by the joiner squirrel or old grub,
Time out o' mind the fairies' coachmakers.
And in this state she gallops night by night
Through lovers' brains, and then they dream of love;
O'er courtiers' knees, that dream on court'sies straight,
O'er lawyers' fingers, who straight dream on fees,
O'er ladies ' lips, who straight on kisses dream,
Which oft the angry Mab with blisters plagues,
Because their breaths with sweetmeats tainted are"
ROMEO,"Peace, peace, Mercutio, peace!
Thou talk'st of nothing."
MERCUTIO,"True, I talk of dreams,
Which are the children of an idle brain,
Begot of nothing but vain fantasy,
Which is as thin of substance as the air
And more inconstant than the wind, who wooes
Even now the frozen bosom of the north,
And, being anger'd, puffs away from thence,
Turning his face to the dew-dropping south."
BENVOLIO,"This wind, you talk of, blows us from ourselves;
Supper is done, and we shall come too late."
ROMEO,"I fear, too early"
BENVOLIO,"Strike, drum."
ROMEO,""
ROMEO,"O, she doth teach the torches to burn bright!
It seems she hangs upon the cheek of night
Like a rich jewel in an Ethiope's ear;
Beauty too rich for use, for earth too dear!
So shows a snowy dove trooping with crows,
As yonder lady o'er her fellows shows.
The measure done, I'll watch her place of stand,
And, touching hers, make blessed my rude hand.
Did my heart love till now? forswear it, sight!
For I ne'er saw true beauty till this night."
ROMEO,""
JULIET,"Good pilgrim, you do wrong your hand too much,
Which mannerly devotion shows in this;
For saints have hands that pilgrims' hands do touch,
And palm to palm is holy palmers' kiss."
ROMEO,"Have not saints lips, and holy palmers too?"
JULIET,"Ay, pilgrim, lips that they must use in prayer."
ROMEO,"O, then, dear saint, let lips do what hands do;
They pray, grant thou, lest faith turn to despair."
JULIET,"Saints do not move, though grant for prayers' sake."
ROMEO,"Then move not, while my prayer's effect I take.
Thus from my lips, by yours, my sin is purged."
JULIET,Then have my lips the sin that they have took.
ROMEO,"Sin from thy lips? O trespass sweetly urged!
Give me my sin again."
JULIET,You kiss by the book.
Nurse,"Madam, your mother craves a word with you."
ROMEO,What is her mother?
Nurse,"Marry, bachelor,
Her mother is the lady of the house,
And a good lady, and a wise and virtuous
I nursed her daughter, that you talk'd withal;
I tell you, he that can lay hold of her
Shall have the chinks."
ROMEO,"Is she a Capulet?
O dear account! my life is my foe's debt."
BENVOLIO,"Away, begone; the sport is at the best."
ROMEO,"Ay, so I fear; the more is my unrest."
JULIET,"Come hither, nurse. What is yond gentleman?"
Nurse,The son and heir of old Tiberio.
JULIET,What's he that now is going out of door?
Nurse,"Marry, that, I think, be young Petrucio."
JULIET,"What's he that follows there, that would not dance?"
Nurse,I know not.
JULIET,Go ask his name
Nurse,"His name is Romeo, and a Montague;
The only son of your great enemy."
JULIET,"My only love sprung from my only hate!
Too early seen unknown, and known too late!
Prodigious birth of love it is to me,
That I must love a loathed enemy."
Nurse,What's this? what's this?
JULIET,"A rhyme I learn'd even now
Of one I danced withal."
Nurse,"Anon, anon!
Come, let's away; the strangers all are gone."
ROMEO,"Can I go forward when my heart is here?
Turn back, dull earth, and find thy centre out."
BENVOLIO,Romeo! my cousin Romeo!
MERCUTIO,"He is wise;
And, on my lie, hath stol'n him home to bed."
BENVOLIO,"He ran this way, and leap'd this orchard wall"
MERCUTIO,"Nay, I'll conjure too.
Romeo! humours! madman! passion! lover!
Appear thou in the likeness of a sigh"
BENVOLIO,"And if he hear thee, thou wilt anger him."
MERCUTIO,This cannot anger him
BENVOLIO,"Come, he hath hid himself among these trees,
To be consorted with the humorous night"
MERCUTIO,"If love be blind, love cannot hit the mark.
Now will he sit under a medlar tree,
And wish his mistress were that kind of fruit
As maids call medlars, when they laugh alone.
Romeo, that she were, O, that she were
An open et caetera, thou a poperin pear!
Romeo, good night"
BENVOLIO,"Go, then; for 'tis in vain
To seek him here that means not to be found."
ROMEO,"He jests at scars that never felt a wound.
But, soft! what light through yonder window breaks?
It is the east, and Juliet is the sun.
Arise, fair sun, and kill the envious moon,
Who is already sick and pale with grief,
That thou her maid art far more fair than she"
JULIET,Ay me!
ROMEO,She speaks
JULIET,"O Romeo, Romeo! wherefore art thou Romeo?
Deny thy father and refuse thy name;
Or, if thou wilt not, be but sworn my love,
And I'll no longer be a Capulet."
ROMEO,""
JULIET,"'Tis but thy name that is my enemy;
Thou art thyself, though not a Montague.
What's Montague? it is nor hand, nor foot,
Nor arm, nor face, nor any other part
Belonging to a man. O, be some other name!
What's in a name? that which we call a rose
By any other name would smell as sweet;
So Romeo would, were he not Romeo call'd,
Retain that dear perfection which he owes
Without that title. Romeo, doff thy name,
And for that name which is no part of thee
Take all myself."
ROMEO,I take thee at thy word
JULIET,"What man art thou that thus bescreen'd in night
So stumblest on my counsel?"
ROMEO,"By a name
I know not how to tell thee who I am"
JULIET,"My ears have not yet drunk a hundred words
Of that tongue's utterance, yet I know the sound"
ROMEO,"Neither, fair saint, if either thee dislike."
JULIET,"How camest thou hither, tell me, and wherefore?
The orchard walls are high and hard to climb,
And the place death, considering who thou art,
If any of my kinsmen find thee here."
ROMEO,"With love's light wings did I o'er-perch these walls;
For stony limits cannot hold love out,
And what love can do that dares love attempt;
Therefore thy kinsmen are no let to me."
JULIET,"If they do see thee, they will murder thee."
ROMEO,"Alack, there lies more peril in thine eye
Than twenty of their swords"
JULIET,I would not for the world they saw thee here.
ROMEO,"I have night's cloak to hide me from their sight;
And but thou love me, let them find me here"
JULIET,By whose direction found'st thou out this place?
ROMEO,"By love, who first did prompt me to inquire;
He lent me counsel and I lent him eyes.
I am no pilot; yet, wert thou as far
As that vast shore wash'd with the farthest sea,
I would adventure for such merchandise."
JULIET,"Thou know'st the mask of night is on my face,
Else would a maiden blush bepaint my cheek
For that which thou hast heard me speak to-night
Fain would I dwell on form, fain, fain deny
What I have spoke"
ROMEO,"Lady, by yonder blessed moon I swear
That tips with silver all these fruit-tree tops--"
JULIET,"O, swear not by the moon, the inconstant moon,
That monthly changes in her circled orb,
Lest that thy love prove likewise variable."
ROMEO,What shall I swear by?
JULIET,"Do not swear at all;
Or, if thou wilt, swear by thy gracious self,
Which is the god of my idolatry,
And I'll believe thee."
ROMEO,If my heart's dear love--
JULIET,"Well, do not swear"
ROMEO,"O, wilt thou leave me so unsatisfied?"
JULIET,What satisfaction canst thou have to-night?
ROMEO,The exchange of thy love's faithful vow for mine.
JULIET,I gave thee mine before thou didst request it
ROMEO,"Wouldst thou withdraw it? for what purpose, love?"
JULIET,"But to be frank, and give it thee again.
And yet I wish but for the thing I have"
ROMEO,"O blessed, blessed night! I am afeard.
Being in night, all this is but a dream,
Too flattering-sweet to be substantial."
JULIET,"Three words, dear Romeo, and good night indeed.
If that thy bent of love be honourable,
Thy purpose marriage, send me word to-morrow,
By one that I'll procure to come to thee,
Where and what time thou wilt perform the rite;
And all my fortunes at thy foot I'll lay
And follow thee my lord throughout the world."
Nurse,""
JULIET,"I come, anon.--But if thou mean'st not well,
I do beseech thee--"
Nurse,""
JULIET,"By and by, I come"
ROMEO,So thrive my soul--
JULIET,A thousand times good night!
ROMEO,"A thousand times the worse, to want thy light.
Love goes toward love, as schoolboys from
their books,
But love from love, toward school with heavy looks."
JULIET,"Hist! Romeo, hist! O, for a falconer's voice,
To lure this tassel-gentle back again!
Bondage is hoarse, and may not speak aloud;
Else would I tear the cave where Echo lies,
And make her airy tongue more hoarse than mine,
With repetition of my Romeo's name."
ROMEO,It is my soul that calls upon my name
JULIET,Romeo!
ROMEO,My dear?
JULIET,"At what o'clock to-morrow
Shall I send to thee?"
ROMEO,At the hour of nine.
JULIET,I will not fail
ROMEO,Let me stand here till thou remember it.
JULIET,"I shall forget, to have thee still stand there,
Remembering how I love thy company."
ROMEO,"And I'll still stay, to have thee still forget,
Forgetting any other home but this."
JULIET,'Tis almost morning; I would have thee gone
ROMEO,I would I were thy bird.
JULIET,"Sweet, so would I"
ROMEO,"Sleep dwell upon thine eyes, peace in thy breast!
Would I were sleep and peace, so sweet to rest!
Hence will I to my ghostly father's cell,
His help to crave, and my dear hap to tell."
ROMEO,"Good morrow, father."
ROMEO,That last is true; the sweeter rest was mine.
ROMEO,"With Rosaline, my ghostly father? no;
I have forgot that name, and that name's woe."
ROMEO,"I'll tell thee, ere thou ask it me again.
I have been feasting with mine enemy,
Where on a sudden one hath wounded me,
That's by me wounded"
ROMEO,"Then plainly know my heart's dear love is set
On the fair daughter of rich Capulet"
ROMEO,Thou chid'st me oft for loving Rosaline.
ROMEO,And bad'st me bury love.
ROMEO,"I pray thee, chide not; she whom I love now
Doth grace for grace and love for love allow;
The other did not so."
ROMEO,"O, let us hence; I stand on sudden haste."
MERCUTIO,"Where the devil should this Romeo be?
Came he not home to-night?"
BENVOLIO,Not to his father's; I spoke with his man.
MERCUTIO,"Ah, that same pale hard-hearted wench, that Rosaline.
Torments him so, that he will sure run mad."
BENVOLIO,"Tybalt, the kinsman of old Capulet,
Hath sent a letter to his father's house."
MERCUTIO,"A challenge, on my life."
BENVOLIO,Romeo will answer it.
MERCUTIO,Any man that can write may answer a letter.
BENVOLIO,"Nay, he will answer the letter's master, how he
dares, being dared."
MERCUTIO,"Alas poor Romeo! he is already dead; stabbed with a
white wench's black eye; shot through the ear with a
love-song; the very pin of his heart cleft with the
blind bow-boy's butt-shaft"
BENVOLIO,"Why, what is Tybalt?"
MERCUTIO,"More than prince of cats, I can tell you. O, he is
the courageous captain of compliments. He fights as
you sing prick-song, keeps time, distance, and
proportion; rests me his minim rest, one, two, and
the third in your bosom"
BENVOLIO,The what?
MERCUTIO,"The pox of such antic, lisping, affecting
fantasticoes; these new tuners of accents! 'By Jesu,
a very good blade! a very tall man! a very good
whore!' Why, is not this a lamentable thing,
grandsire, that we should be thus afflicted with
these strange flies, these fashion-mongers, these
perdona-mi's, who stand so much on the new form,
that they cannot at ease on the old bench? O, their
bones, their bones!"
BENVOLIO,"Here comes Romeo, here comes Romeo."
MERCUTIO,"Without his roe, like a dried herring"
ROMEO,Good morrow to you both. What counterfeit did I give you?
MERCUTIO,"The ship, sir, the slip; can you not conceive?"
ROMEO,"Pardon, good Mercutio, my business was great; and in
such a case as mine a man may strain courtesy."
MERCUTIO,"That's as much as to say, such a case as yours
constrains a man to bow in the hams."
ROMEO,"Meaning, to court'sy."
MERCUTIO,Thou hast most kindly hit it.
ROMEO,A most courteous exposition.
MERCUTIO,"Nay, I am the very pink of courtesy."
ROMEO,Pink for flower.
MERCUTIO,Right.
ROMEO,"Why, then is my pump well flowered."
MERCUTIO,Well said
ROMEO,"O single-soled jest, solely singular for the
singleness."
MERCUTIO,"Come between us, good Benvolio; my wits faint."
ROMEO,"Switch and spurs, switch and spurs; or I'll cry a match."
MERCUTIO,"Nay, if thy wits run the wild-goose chase, I have
done, for thou hast more of the wild-goose in one of
thy wits than, I am sure, I have in my whole five"
ROMEO,"Thou wast never with me for any thing when thou wast
not there for the goose."
MERCUTIO,I will bite thee by the ear for that jest.
ROMEO,"Nay, good goose, bite not."
MERCUTIO,"Thy wit is a very bitter sweeting; it is a most
sharp sauce."
ROMEO,And is it not well served in to a sweet goose?
MERCUTIO,"O here's a wit of cheveril, that stretches from an
inch narrow to an ell broad!"
ROMEO,"I stretch it out for that word 'broad;' which added
to the goose, proves thee far and wide a broad goose."
MERCUTIO,"Why, is not this better now than groaning for love?
now art thou sociable, now art thou Romeo; now art
thou what thou art, by art as well as by nature"
BENVOLIO,"Stop there, stop there."
MERCUTIO,Thou desirest me to stop in my tale against the hair.
BENVOLIO,Thou wouldst else have made thy tale large.
MERCUTIO,"O, thou art deceived; I would have made it short"
ROMEO,Here's goodly gear!
MERCUTIO,"A sail, a sail!"
BENVOLIO,"Two, two; a shirt and a smock."
Nurse,Peter!
Nurse,"My fan, Peter."
MERCUTIO,"Good Peter, to hide her face; for her fan's the
fairer face."
Nurse,"God ye good morrow, gentlemen."
MERCUTIO,"God ye good den, fair gentlewoman."
Nurse,Is it good den?
MERCUTIO,"'Tis no less, I tell you, for the bawdy hand of the
dial is now upon the prick of noon."
Nurse,Out upon you! what a man are you!
ROMEO,"One, gentlewoman, that God hath made for himself to
mar."
Nurse,"By my troth, it is well said; 'for himself to mar,'
quoth a'? Gentlemen, can any of you tell me where I
may find the young Romeo?"
ROMEO,"I can tell you; but young Romeo will be older when
you have found him than he was when you sought him"
Nurse,You say well.
MERCUTIO,"Yea, is the worst well? very well took, i' faith;
wisely, wisely."
Nurse,"if you be he, sir, I desire some confidence with
you."
BENVOLIO,She will indite him to some supper.
MERCUTIO,"A bawd, a bawd, a bawd! so ho!"
ROMEO,What hast thou found?
MERCUTIO,"No hare, sir; unless a hare, sir, in a lenten pie,
that is something stale and hoar ere it be spent.
An old hare hoar,
And an old hare hoar,
Is very good meat in lent
But a hare that is hoar
Is too much for a score,
When it hoars ere it be spent.
Romeo, will you come to your father's? we'll
to dinner, thither."
ROMEO,I will follow you.
MERCUTIO,"Farewell, ancient lady; farewell,
'lady, lady, lady.'"
Nurse,"Marry, farewell! I pray you, sir, what saucy
merchant was this, that was so full of his ropery?"
ROMEO,"A gentleman, nurse, that loves to hear himself talk,
and will speak more in a minute than he will stand
to in a month."
Nurse,"An a' speak any thing against me, I'll take him
down, an a' were lustier than he is, and twenty such
Jacks; and if I cannot, I'll find those that shall.
Scurvy knave! I am none of his flirt-gills; I am
none of his skains-mates. And thou must stand by
too, and suffer every knave to use me at his pleasure?"
Nurse,"Now, afore God, I am so vexed, that every part about
me quivers. Scurvy knave! Pray you, sir, a word"
ROMEO,"Nurse, commend me to thy lady and mistress. I
protest unto thee--"
Nurse,"Good heart, and, i' faith, I will tell her as much"
ROMEO,"What wilt thou tell her, nurse? thou dost not mark me."
Nurse,"I will tell her, sir, that you do protest; which, as
I take it, is a gentlemanlike offer."
ROMEO,"Bid her devise
Some means to come to shrift this afternoon;
And there she shall at Friar Laurence' cell
Be shrived and married. Here is for thy pains."
Nurse,No truly sir; not a penny.
ROMEO,Go to; I say you shall.
Nurse,"This afternoon, sir? well, she shall be there."
ROMEO,"And stay, good nurse, behind the abbey wall"
Nurse,"Now God in heaven bless thee! Hark you, sir."
ROMEO,"What say'st thou, my dear nurse?"
Nurse,"Is your man secret? Did you ne'er hear say,
Two may keep counsel, putting one away?"
ROMEO,"I warrant thee, my man's as true as steel."
ROMEO,"Ay, nurse; what of that? both with an R."
Nurse,"Ah. mocker! that's the dog's name; R is for
the--No; I know it begins with some other
letter"
ROMEO,Commend me to thy lady.
Nurse,"Ay, a thousand times.
Peter!"
Nurse,"Peter, take my fan, and go before and apace."
JULIET,"The clock struck nine when I did send the nurse;
In half an hour she promised to return.
Perchance she cannot meet him"
Nurse,"Peter, stay at the gate."
JULIET,"Now, good sweet nurse,--O Lord, why look'st thou sad?
Though news be sad, yet tell them merrily;
If good, thou shamest the music of sweet news
By playing it to me with so sour a face."
Nurse,"I am a-weary, give me leave awhile"
JULIET,"I would thou hadst my bones, and I thy news"
Nurse,"Jesu, what haste? can you not stay awhile?
Do you not see that I am out of breath?"
JULIET,"How art thou out of breath, when thou hast breath
To say to me that thou art out of breath?
The excuse that thou dost make in this delay
Is longer than the tale thou dost excuse.
Is thy news good, or bad? answer to that;
Say either, and I'll stay the circumstance"
Nurse,"Well, you have made a simple choice; you know not
how to choose a man"
JULIET,"No, no"
Nurse,"Lord, how my head aches! what a head have I!
It beats as it would fall in twenty pieces.
My back o' t' other side,--O, my back, my back!
Beshrew your heart for sending me about,
To catch my death with jaunting up and down!"
JULIET,"I' faith, I am sorry that thou art not well.
Sweet, sweet, sweet nurse, tell me, what says my love?"
Nurse,"Your love says, like an honest gentleman, and a
courteous, and a kind, and a handsome, and, I
warrant, a virtuous,--Where is your mother?"
JULIET,"Where is my mother! why, she is within;
Where should she be? How oddly thou repliest!
'Your love says, like an honest gentleman,
Where is your mother?'"
Nurse,"O God's lady dear!
Are you so hot? marry, come up, I trow;
Is this the poultice for my aching bones?
Henceforward do your messages yourself."
JULIET,"Here's such a coil! come, what says Romeo?"
Nurse,Have you got leave to go to shrift to-day?
JULIET,I have.
Nurse,"Then hie you hence to Friar Laurence' cell;
There stays a husband to make you a wife"
JULIET,"Hie to high fortune! Honest nurse, farewell."
ROMEO,"Amen, amen! but come what sorrow can,
It cannot countervail the exchange of joy
That one short minute gives me in her sight"
JULIET,Good even to my ghostly confessor.
JULIET,"As much to him, else is his thanks too much."
ROMEO,"Ah, Juliet, if the measure of thy joy
Be heap'd like mine and that thy skill be more
To blazon it, then sweeten with thy breath
This neighbour air, and let rich music's tongue
Unfold the imagined happiness that both
Receive in either by this dear encounter."
JULIET,"Conceit, more rich in matter than in words,
Brags of his substance, not of ornament"
BENVOLIO,"I pray thee, good Mercutio, let's retire"
MERCUTIO,"Thou art like one of those fellows that when he
enters the confines of a tavern claps me his sword
upon the table and says 'God send me no need of
thee!' and by the operation of the second cup draws
it on the drawer, when indeed there is no need."
BENVOLIO,Am I like such a fellow?
MERCUTIO,"Come, come, thou art as hot a Jack in thy mood as
any in Italy, and as soon moved to be moody, and as
soon moody to be moved."
BENVOLIO,And what to?
MERCUTIO,"Nay, an there were two such, we should have none
shortly, for one would kill the other. Thou! why,
thou wilt quarrel with a man that hath a hair more,
or a hair less, in his beard, than thou hast"
BENVOLIO,"An I were so apt to quarrel as thou art, any man
should buy the fee-simple of my life for an hour and a quarter."
MERCUTIO,The fee-simple! O simple!
BENVOLIO,"By my head, here come the Capulets."
MERCUTIO,"By my heel, I care not."
MERCUTIO,"And but one word with one of us? couple it with
something; make it a word and a blow."
MERCUTIO,Could you not take some occasion without giving?
MERCUTIO,"Consort! what, dost thou make us minstrels? an
thou make minstrels of us, look to hear nothing but
discords"
BENVOLIO,We talk here in the public haunt of men
MERCUTIO,"Men's eyes were made to look, and let them gaze;
I will not budge for no man's pleasure, I."
MERCUTIO,"But I'll be hanged, sir, if he wear your livery"
ROMEO,"Tybalt, the reason that I have to love thee
Doth much excuse the appertaining rage
To such a greeting"
ROMEO,"I do protest, I never injured thee,
But love thee better than thou canst devise,
Till thou shalt know the reason of my love"
MERCUTIO,"O calm, dishonourable, vile submission!
Alla stoccata carries it away.
Tybalt, you rat-catcher, will you walk?"
MERCUTIO,"Good king of cats, nothing but one of your nine
lives; that I mean to make bold withal, and as you
shall use me hereafter, drybeat the rest of the
eight. Will you pluck your sword out of his pitcher
by the ears? make haste, lest mine be about your
ears ere it be out."
ROMEO,"Gentle Mercutio, put thy rapier up."
MERCUTIO,"Come, sir, your passado."
ROMEO,"Draw, Benvolio; beat down their weapons.
Gentlemen, for shame, forbear this outrage!
Tybalt, Mercutio, the prince expressly hath
Forbidden bandying in Verona streets"
MERCUTIO,"I am hurt.
A plague o' both your houses! I am sped.
Is he gone, and hath nothing?"
BENVOLIO,"What, art thou hurt?"
MERCUTIO,"Ay, ay, a scratch, a scratch; marry, 'tis enough.
Where is my page? Go, villain, fetch a surgeon."
ROMEO,"Courage, man; the hurt cannot be much."
MERCUTIO,"No, 'tis not so deep as a well, nor so wide as a
church-door; but 'tis enough,'twill serve"
ROMEO,I thought all for the best.
MERCUTIO,"Help me into some house, Benvolio,
Or I shall faint. A plague o' both your houses!
They have made worms' meat of me"
ROMEO,"This gentleman, the prince's near ally,
My very friend, hath got his mortal hurt
In my behalf; my reputation stain'd
With Tybalt's slander,--Tybalt, that an hour
Hath been my kinsman! O sweet Juliet,
Thy beauty hath made me effeminate
And in my temper soften'd valour's steel!"
BENVOLIO,"O Romeo, Romeo, brave Mercutio's dead!
That gallant spirit hath aspired the clouds,
Which too untimely here did scorn the earth."
ROMEO,"This day's black fate on more days doth depend;
This but begins the woe, others must end."
BENVOLIO,Here comes the furious Tybalt back again.
ROMEO,"Alive, in triumph! and Mercutio slain!
Away to heaven, respective lenity,
And fire-eyed fury be my conduct now!
Now, Tybalt, take the villain back again,
That late thou gavest me; for Mercutio's soul
Is but a little way above our heads,
Staying for thine to keep him company"
ROMEO,This shall determine that.
BENVOLIO,"Romeo, away, be gone!
The citizens are up, and Tybalt slain.
Stand not amazed"
ROMEO,"O, I am fortune's fool!"
BENVOLIO,Why dost thou stay?
BENVOLIO,There lies that Tybalt.
BENVOLIO,"O noble prince, I can discover all
The unlucky manage of this fatal brawl"
BENVOLIO,"Tybalt, here slain, whom Romeo's hand did slay;
Romeo that spoke him fair, bade him bethink
How nice the quarrel was, and urged withal
Your high displeasure"
JULIET,"Gallop apace, you fiery-footed steeds,
Towards Phoebus' lodging"
Nurse,"Ay, ay, the cords."
JULIET,Ay me! what news? why dost thou wring thy hands?
Nurse,"Ah, well-a-day! he's dead, he's dead, he's dead!
We are undone, lady, we are undone!
Alack the day! he's gone, he's kill'd, he's dead!"
JULIET,Can heaven be so envious?
Nurse,"Romeo can,
Though heaven cannot"
JULIET,"What devil art thou, that dost torment me thus?
This torture should be roar'd in dismal hell.
Hath Romeo slain himself? say thou but 'I,'
And that bare vowel 'I' shall poison more
Than the death-darting eye of cockatrice"
Nurse,"I saw the wound, I saw it with mine eyes,--
God save the mark!--here on his manly breast"
JULIET,"O, break, my heart! poor bankrupt, break at once!
To prison, eyes, ne'er look on liberty!
Vile earth, to earth resign; end motion here;
And thou and Romeo press one heavy bier!"
Nurse,"O Tybalt, Tybalt, the best friend I had!
O courteous Tybalt! honest gentleman!
That ever I should live to see thee dead!"
JULIET,"What storm is this that blows so contrary?
Is Romeo slaughter'd, and is Tybalt dead?
My dear-loved cousin, and my dearer lord?
Then, dreadful trumpet, sound the general doom!
For who is living, if those two are gone?"
Nurse,"Tybalt is gone, and Romeo banished;
Romeo that kill'd him, he is banished."
JULIET,O God! did Romeo's hand shed Tybalt's blood?
Nurse,"It did, it did; alas the day, it did!"
JULIET,"O serpent heart, hid with a flowering face!
Did ever dragon keep so fair a cave?
Beautiful tyrant! fiend angelical!
Dove-feather'd raven! wolvish-ravening lamb!
Despised substance of divinest show!
Just opposite to what thou justly seem'st,
A damned saint, an honourable villain!
O nature, what hadst thou to do in hell,
When thou didst bower the spirit of a fiend
In moral paradise of such sweet flesh?
Was ever book containing such vile matter
So fairly bound? O that deceit should dwell
In such a gorgeous palace!"
Nurse,"There's no trust,
No faith, no honesty in men; all perjured,
All forsworn, all naught, all dissemblers.
Ah, where's my man? give me some aqua vitae"
JULIET,"Blister'd be thy tongue
For such a wish! he was not born to shame"
Nurse,Will you speak well of him that kill'd your cousin?
JULIET,"Shall I speak ill of him that is my husband?
Ah, poor my lord, what tongue shall smooth thy name,
When I, thy three-hours wife, have mangled it?
But, wherefore, villain, didst thou kill my cousin?
That villain cousin would have kill'd my husband"
Nurse,Weeping and wailing over Tybalt's corse
JULIET,Wash they his wounds with tears
Nurse,Hie to your chamber
JULIET,"O, find him! give this ring to my true knight,
And bid him come to take his last farewell."
ROMEO,"Father, what news? what is the prince's doom?
What sorrow craves acquaintance at my hand,
That I yet know not?"
ROMEO,What less than dooms-day is the prince's doom?
ROMEO,"Ha, banishment! be merciful, say 'death;'
For exile hath more terror in his look,
Much more than death"
ROMEO,"There is no world without Verona walls,
But purgatory, torture, hell itself.
Hence-banished is banish'd from the world,
And world's exile is death"
ROMEO,"'Tis torture, and not mercy"
ROMEO,"O, thou wilt speak again of banishment."
ROMEO,"Yet 'banished'? Hang up philosophy!
Unless philosophy can make a Juliet,
Displant a town, reverse a prince's doom,
It helps not, it prevails not"
ROMEO,"How should they, when that wise men have no eyes?"
ROMEO,Thou canst not speak of that thou dost not feel
ROMEO,"Not I; unless the breath of heartsick groans,
Mist-like, infold me from the search of eyes."
Nurse,""
